ACACA
ACVRL1
AKT1
AKT1S1
ANXA1
AR
ARAF
ASNS
ATM
BAD
BAK1
BAP1
BAX
BCL2
BCL2L1
BCL2L11
BECN1
BID
BRAF
BRCA2
CASP7
CAV1
CCNB1
CCND1
CCNE1
CCNE2
CDH1
CDH2
CDH3
CDKN1A
CDKN1B
CHEK1
CHEK2
CLDN7
COL6A1
CTNNB1
DIRAS3
DVL3
EEF2
EEF2K
EGFR
EIF4E
EIF4EBP1
EIF4G1
ERBB2
ERBB3
ERRFI1
ESR1
ETS1
FASN
FN1
FOXM1
FOXO3
G6PD
GAB2
GAPDH
GATA3
GSK3A
HSPA1A
IGFBP2
IRS1
ITGA2
JUN
KDR
KIT
LCK
MAP2K1
MAPK1
MAPK14
MAPK9
MET
MRE11A
MYC
MYH11
NDRG1
NF2
NFKB1
NOTCH1
NRAS
NRG1
PARK7
PCNA
PDCD4
PDK1
PEA15
PGR
PIK3R1
PRDX1
PREX1
PRKAA1
PRKCD
PTEN
PXN
RAB25
RAD50
RAD51
RAF1
RB1
RBM15
RPS6
RPS6KA1
RPS6KB1
SERPINE1
SFRS1
SHC1
SMAD1
SMAD3
SMAD4
SQSTM1
SRC
STAT3
STAT5A
STK11
STMN1
SYK
TGM2
TP53
TP53BP1
TSC1
TSC2
TUBA1B
VHL
WWTR1
XBP1
XRCC1
XRCC5
YAP1
YBX1
YWHAB
YWHAE
YWHAZ
