ACC1
ACC_pS79
ACVRL1
Akt_pS473
PRAS40_pT246
Annexin.1
AR
A.Raf_pS299
ASNS
ATM
Bad_pS112
Bak
Bap1.c.4
Bax
Bcl.2
Bcl.xL
Bim
Beclin
Bid
B.Raf
BRCA2
Caspase.7_cleavedD198
Caveolin.1
Cyclin_B1
Cyclin_D1
Cyclin_E1
Cyclin_E2
E.Cadherin
N.Cadherin
P.Cadherin
p21
p27
p27_pT157
p27_pT198
Chk1
Chk1_pS345
Chk2
Chk2_pT68
Claudin.7
Collagen_VI
beta.Catenin
ARHI
Dvl3
eEF2
eEF2K
EGFR
EGFR_pY1068
EGFR_pY1173
eIF4E
4E.BP1
4E.BP1_pS65
4E.BP1_pT70
eIF4G
HER2
HER2_pY1248
HER3
HER3_pY1289
MIG.6
ER.alpha
ER.alpha_pS118
ETS.1
FASN
Fibronectin
FoxM1
FOXO3a
FOXO3a_pS318_S321
G6PD
GAB2
GAPDH
GATA3
GSK3.alpha.beta
GSK3.alpha.beta_pS21_S9
GSK3_pS9
HSP70
IGFBP2
IRS1
CD49b
c.Jun_pS73
VEGFR2
c.Kit
Lck
MEK1
MEK1_pS217_S221
ERK2
p38_MAPK
p38_pT180_Y182
JNK2
c.Met_pY1235
Mre11
c.Myc
MYH11
NDRG1_pT346
NF2
NF.kB.p65_pS536
Notch1
N.Ras
Heregulin
DJ.1
PCNA
PDCD4
PDK1
PDK1_pS241
PEA15_pS116
PR
PI3K.p85
PRDX1
PREX1
AMPK_alpha
AMPK_pT172
PKC.delta_pS664
PTEN
Paxillin
Rab.25
Rad50
Rad51
C.Raf
C.Raf_pS338
Rb_pS807_S811
RBM15
S6
S6_pS235_S236
S6_pS240_S244
p90RSK
p90RSK_pT359_S363
p70S6K
p70S6K_pT389
PAI.1
SF2
Shc_pY317
Smad1
Smad3
Smad4
p62.LCK.ligand
Src
Src_pY416
Src_pY527
STAT3_pY705
STAT5.alpha
LKB1
Stathmin
Syk
Transglutaminase
p53
53BP1
TSC1
Tuberin
Tuberin_pT1462
Acetyl.a.Tubulin.Lys40
VHL
TAZ
XBP1
XRCC1
Ku80
YAP
YAP_pS127
YB.1
YB.1_pS102
14.3.3_beta
14.3.3_epsilon
14.3.3_zeta
